Record Number,Display_ID,Title,Seating Type,Context (Primary),Context - Secondary,Origin System,Current System (multi-select),Environment,Country,State,City,Site Type,Materials,Visibility,Duration,Posture,Body State,Observations,Thumbnail,Web Status,Slug,Latitude,Longitude,Readymag_URL,Map_Label,Featured,Caption
1,SS-001,"Informal Armchair Arrangement, Sidewalk",armchair,Waiting,"informal,public",domestic,commercial,outdoor,Argentina,,Buenos Aires,sidewalk,"upholstered textile,wood",usable,variable,upright,"stabilized,relaxed","A pair of upholstered armchairs and a small table are positioned on a rug directly within the sidewalk, forming a temporary domestic zone in public space. The grouping imports the visual and social language of the living room into the street, offering comfort, pause, and conversation where movement would normally dominate. Its placement destabilizes the boundary between private interiority and public thoroughfare, making domestic space briefly visible as an improvised urban condition.",IMG_7054.jpeg (https://v5.airtableusercontent.com/v3/u/56/56/1787947200000/Glc77HhXc39GRgmV5va9MQ/FqOBAiA2bPPhxc6cr74mYT6YG6F3IeuGhZAnQW1HgXu0I-85R168Rm4DjAxw-odkP6O0R7BSCSERFvw6wsZsSBQ2hWn4axMHfQlIaEFqDkUIGgJ_6LPF6jXc3kHlKqjvczD3jov79yKLv6V1m3pRTEj3wXKR0I2orRJRkZuiSfo/TPggqT-KxwEPkS_DkU6VQrqGAa7Sc1X2Oz0mLIxb3Pw),Public,"ss-001-informal-armchair-arrangement,-sidewalk",-34.585687,-58.429375,https://sittingsystems.org/ss-001/,"SS-001 — Informal Armchair Arrangement, Sidewalk",Yes,Photographic record of improvised domestic seating arrangement on sidewalk.
2,SS-002,"Child-Sized Chair, Private Residence",child-sized domestic side chair,Resting,"private,domestic",domestic,domestic,indoor,United States,Illinois,Chicago,private residence,"carved wood,upholstered textile",usable,brief,"upright,disciplined",constrained,"This child-sized side chair reproduces the formal language of adult domestic furniture in miniature. Its carved crest rail, upright back, and upholstered check seat soften the object’s disciplinary function by lending it familiarity. Scale operates as the primary regulatory device, training posture and placement through proportion and introducing the child to domestic codes of order, restraint, and presentation.",IMG_5235.jpeg (https://v5.airtableusercontent.com/v3/u/56/56/1787947200000/AuICmUUubOnxMhv_uZeDlg/zzYGZWWa8RasrBJFKD3LDDoWi-NmFzftofQaoLeUZGOU5aBMxqRKq6oj8yiHBJhRkcSnG6fWiDjo2942jgPKTJrc27frbQKzPWekb2pAd0p7Q5Tu4CxDCLYNkb5tRKHBZ-pWhubHfPKkcb-aTj4agy8QISXtnbEpYHbLzOJEfYM/YkOuNrPbrOtgGcZe3-l_4OPUw9Cqw9vAYsKsHbpYi1U),Public,"ss-002-child-sized-chair,-private-residence",41.880000,-87.779600,https://sittingsystems.org/ss-002/,"SS-002 — Child-Sized Chair, Private Residence",,Photographic record of child-sized side chair in domestic interior.
3,SS-003,"Decorative Side Chair, Outdoor Market",side chair,Display,"transitional,resale",domestic,commercial,outdoor,France,,Paris,market,"wood,upholstered textile",usable,suspended,upright,attentive,"The chair’s needlepoint-style upholstered seat shifts emphasis from comfort to visual narrative. Before it is encountered as seating, it presents itself as decorated object. In the market setting, domestic ornament becomes commodity, and the act of sitting is momentarily deferred by the demand to look.",SS-003.jpeg (https://v5.airtableusercontent.com/v3/u/56/56/1787947200000/r_OaVGqQzgc1dPSJVVf0Yw/rZWJJzo9E5ORc2u9CnP7FdeBL40G2HQXJk7j7lQtVbbk2Ns3ytSrmD2fejuQhvO6SLVDGZ9mlCyNvnQsEY1R79ZkRYnK5zNvvedcdrsypA8Hag__D0PxMKEbhHlbO_FlIT3MZ_Z32p3-aUSPhSqmJ3Blmu51es21WG4v7V1VihU/h7kyAKeGbLGZvAxKU3bLjDtQfqD201Zit7DgPsYXUOc),Public,"ss-003-decorative-side-chair,-outdoor-market",48.901753,2.341620,https://sittingsystems.org/ss-003/,"SS-003 — Decorative Side Chair, Outdoor Market",,Photographic record of side chair with figural needlepoint-style upholstery in market setting.
4,SS-004,Ceremonial Upholstered Chair — Louvre Interior,ceremonial upholstered chair,Display,"collective,public","ceremonial,domestic",insitutional,indoor,France,,Paris,museum,"upholstered fabric,gilded detailing,carved wood",controlled,suspended,upright,"self-conscious,restrained,attentive","Ceremonial upholstered seating preserved within the Napoleon III Apartments at the Louvre, a Second Empire interior created in 1861 for Napoleon III’s Minister of State. Designed for elite reception rather than informal rest, the chair participates in a larger decorative system in which gilding, upholstery, and controlled spacing organize visibility and social order. In the museum setting, its original function survives as atmosphere and historical display while bodily use is suspended.",SS-004.jpeg (https://v5.airtableusercontent.com/v3/u/56/56/1787947200000/hr39J9dg9BFPLb8geEuZ-g/mJNaRtTJp7vP9QzUBs8vZpZ7pKld43I56KHUkPa0kIfMN04s8eNtzcRlLiBardaKco8dJRS1pLJA46y6yIYPNG61n4GwjFpCcig4YZNRgrdev4NpO8HtWVKlY8LEQf_02Dtz0JkUo2ufkKLvzx4XPJzZB3dRCP8_ygZPoqt1YCI/Z-CuGCZwnhQRWnQMBKBx0oO_SnCjBgPyR4kIGFytTvQ),Public,ss-004-ceremonial-upholstered-chair---louvre-interior,48.860970,2.339405,https://sittingsystems.org/ss-004/,SS-004 — Ceremonial Upholstered Chair — Louvre Interior,,Photographic record of ceremonial upholstered seating within the Louvre’s Napoleon III Apartments.
5,SS-005,Modified Armchair — Exhibition Installation,armchair (modified),Display,"exhibition,performative",domestic,insitutional,indoor,United States,New York,Brooklyn,gallery,"wood,upholstery,organic fiber (human hair)",controlled,suspended,restricted,withheld,"A modified armchair is presented within an exhibition setting, where the addition of human hair destabilizes the boundary between furniture, body, and sculptural object. The familiar language of seating remains legible, but comfort is interrupted by a material treatment that suggests grooming, accumulation, and intimate residue. Rather than supporting the body directly, the chair stages sitting as a withheld possibility and redirects attention toward display, performance, and ritualized care.",SS-005.jpeg (https://v5.airtableusercontent.com/v3/u/56/56/1787947200000/zltnkHIwNNTbuSopCGqz6g/zyG0vlpaugQnad7aabVc8hYvpVNL_8uTlnOFTy3uemZLS0ncxCNsr5369j1HopVrW9RR28xs7G_vwJ_BsPKjVc983NyoceUi52AzieNOrCSru2Z0Ioe87hDj8v5sQDJPwYlAwklgvKmV7aGD2SUck2-Mroh7RRPdO8CKfRC3tbU/J9MGIc7Qlb6TFXXmZmXYHmqI-hIQXIH8LMoyoigKOUg),Public,ss-005-modified-armchair---exhibition-installation,40.704283,-73.985542,https://sittingsystems.org/ss-005/,SS-005 — Modified Armchair — Exhibition Installation,,Photographic record of modified seating incorporated into an exhibition installation.
6,SS-006,Painted Ladder-Back Chair — Commercial Interior,painted ladder-back chair,Waiting,retail,domestic,commercial,indoor,United States,New Jersey,Lambertville,retail,"wood,painted surface",usable,extended,upright,stabilized,"A small red chair is positioned within a retail environment, where its cracked painted finish and worn surface foreground prolonged use and material aging. The object remains legible as functional seating, yet its visual presence exceeds its practical scale. Within the shop, it contributes to an atmosphere shaped by reuse, accumulation, and the display of domestic objects as both utility and character.",SS-006.jpeg (https://v5.airtableusercontent.com/v3/u/56/56/1787947200000/8rUzG7mrTynQ3h2PzKEncg/i7D2g9i9uJhwO55FUZCZyA8T9dqw8eKNmAYciGZIkX_r5rey7ZaJAfloahHskHd5-YUcWTUycQ0cfYfZ4-Ht_AiOHJXAeXjp9JBDZoVbZS-IpnfFN1Nl579Xnhgt6hVuYzvBnXN9hpAWNcFeCO3_ITE9izrl7HUCoPoyl_4kI3Y/GbOnrFeHNz4jMO6WGbyGG1egd3ihtS37P1yXoFNcxA8),Public,ss-006-painted-ladder-back-chair---commercial-interior,40.366872,-74.944642,https://sittingsystems.org/ss-006/,SS-006 — Painted Ladder-Back Chair — Commercial Interior,,Photographic record of painted wooden seating observed in a commercial interior.
7,SS-007,Upholstered Armchair — Roadside (Winter),upholstered armchair,Waiting,"public,informal,displaced",domestic,transitional,outdoor,United States,Pennslyvania,Pocono Pines,roadside,"upholstered fabric,wood",usable,suspended,upright,deferred,"Domestic upholstered seating is displaced into unmanaged public transit space. Environmental conditions temporarily suspend use, rendering comfort hypothetical rather than accessible. The object remains structurally intact but environmentally compromised.",SS-007.jpeg (https://v5.airtableusercontent.com/v3/u/56/56/1787947200000/WYet65IsuZ5g712xnm-yBg/heWaKPTqLbG4b3VYAP-eLbnPI02AmdJvmFGSOMSgffbK48vpIKttJ89lNZlDQD5TBpC0-NmHToRLWDv3esv5vDNRfrwtCVsICOgiyMxvM1dQTf3VDqM4H-Y1CGPE-FmhQYn_Oh7YcjpM0YA3TACWKytqEgAkux4Z5BErnJz1RHc/3jZ0ga0zwrm8ktW7Gv70HP5MtxD9rYP8g1AlTonqH-I),Public,ss-007-upholstered-armchair---roadside-(winter),41.108100,-75.454900,https://sittingsystems.org/ss-007/,SS-007 — Upholstered Armchair — Roadside (Winter),,Photographic record of upholstered seating observed roadside during winter.
8,SS-008,Artist’s Step Chair — Improvised Seating,artist’s step chair,Working,"domestic,creative labor",commercial,domestic,indoor,United States,California,Los Angeles,private residence,"metal tubing,molded plastic",usable,brief,asymmetrical,"active,strained","Designed to support standing reach rather than seated rest, the object is pressed into improvised sitting. The body compensates for inadequate scale and support, remaining active rather than settled. Duration is structurally limited.",SS-008.jpeg (https://v5.airtableusercontent.com/v3/u/56/56/1787947200000/yiNz2xIFArFsMvStbDI5yA/_w7V1O1bMxc_KqpBgSg20yjUwoLhMM0s6ZqmXuU4gFegQzIFrSRgblwNljuxWw1rNQy8J448aoRYP4dZ8yQVELz5EbVJu1ri0eK98npl740OdoWDNwKvjVEHQO9rZnqhBAahCCx0pJ9GKB_XNK5Fp7Yo7SWzkYMCIXLEdHxCnu4/Ae5QF5z3GrxakWmP6lXsk7Bi-PAKLYFvcoDG_CyNb4w),Public,ss-008-artist’s-step-chair---improvised-seating,34.054900,-118.242600,https://sittingsystems.org/ss-008/,SS-008 — Artist’s Step Chair — Improvised Seating,,Photographic record of artist’s step chair used as improvised seating.
9,SS-009,Reclining Loungers — Hospitality Lawn,reclining lounger,Resting,"hospitality,leisure",commercial,commercial,outdoor,South Africa,,Umhlanga Rocks,hotel,"metal frame,upholstered cushions",usable,extended,reclined,"relaxed,stabilized","A continuous row of reclining loungers arranged in parallel, facing a shared view. Spacing and orientation are uniform. Although designed for rest, the seating prescribes how leisure is performed—alignment, duration, and relational positioning are structured. Comfort is abundant but organized.",SS-009.jpeg (https://v5.airtableusercontent.com/v3/u/56/56/1787947200000/jSuCblIK4AD-0tEnjzeELA/ntmeb3R_Qbzk48O2EUDTwlvvjWOhlgUqVk3jXCAfkZhvgSy1-_n7Z6VuX8TbMid4fbR_jw1BcIp3MiFxgte7UXcElE8GZsPHmuBlZnp0Dvv_nhOAOJjk_AIV4KxxhAHiT93cvaYexy63G6KjyRyf1gM-Gc2iE8sxFX0YU9cnF20/Tv3rCpuwP_SiRtNsJvb7udUy1zrfspYy88LyI-kmfa0),Public,ss-009-reclining-loungers---hospitality-lawn,-29.728212,31.087279,https://sittingsystems.org/ss-009/,SS-009 — Reclining Loungers — Hospitality Lawn,,Photographic record of leisure seating aligned for guest use.
10,SS-010,Ornamental Armchairs — Storefront Threshold,ornamental armchair,Display,threshold,"ceremonial,institutional",commercial,outdoor,United States,New York,Manhattan,storefront,"carved wood,gilded detailing,upholstered fabric",discouraged,brief,upright,"self-conscious,restrained","Two ornate chairs frame the threshold between street and interior. Elevated scale and decorative excess suggest ceremonial authority rather than rest. Although positioned in public space, the chairs do not invite occupation. Seating operates symbolically—signaling luxury and hierarchy—while regulating who may cross the threshold and under what posture.",SS-010.jpeg (https://v5.airtableusercontent.com/v3/u/56/56/1787947200000/2aeGqVhiw8Dq4Jyv0jsZGQ/FQSvoCMHTmOqur6BlUj8fuN5BcDFukK6HRkw2QrBWankpG-lTLTwBp1bNqQEjawuFQ_BXbTZ8WDkfUValZ5Fn6JgC9BW-K4W1VF0gXvhXUcR9BwL9zUSGKEWwgTUhxjdccVwBYEPiAEGfQ9hiYky9zK_RTDtYpVq3xLJ1o5Y55A/h2BgXA78sz-5XpPpdhDeGKB4xWbqkA-_d4l-DvbfChM),Public,ss-010-ornamental-armchairs---storefront-threshold,40.733095,-73.992675,https://sittingsystems.org/ss-010/,SS-010 — Ornamental Armchairs — Storefront Threshold,,Photographic record of ornamental seating used as storefront display.
